GENE P MarkerN MarkerNTEST genename Annotation
ENSG00000143502 0.0179102554129438 9 9 SUSD4 HiCpLOF
ENSG00000004809 0.0179164779656691 12 12 SLC22A16 HiCpLOF
ENSG00000106070 0.0180279554155139 5 5 GRB10 HiCpLOF
ENSG00000120913 0.0181477815052915 22 22 PDLIM2 HiCpLOF
ENSG00000135390 0.0182870744443404 5 5 ATP5MC2 HiCpLOF
ENSG00000146426 0.0192357903148166 37 37 TIAM2 HiCpLOF
ENSG00000089094 0.0194021491015169 13 13 KDM2B HiCpLOF
ENSG00000064687 0.0195214175854936 72 72 ABCA7 HiCpLOF
ENSG00000115339 0.0196552804408949 15 15 GALNT3 HiCpLOF
ENSG00000198363 0.0197734908249023 21 21 ASPH HiCpLOF
ENSG00000256825 0.0198079075483582 10 10 AC026786.1 HiCpLOF
ENSG00000089041 0.0198246040884597 18 18 P2RX7 HiCpLOF
ENSG00000189077 0.0198640551998804 13 13 TMEM120A HiCpLOF
ENSG00000131747 0.0200444644185476 24 24 TOP2A HiCpLOF
ENSG00000213316 0.020098486764503 5 5 LTC4S HiCpLOF
ENSG00000019102 0.0202579586171605 5 5 VSIG2 HiCpLOF
ENSG00000114656 0.0204901004775745 39 39 CFAP92 HiCpLOF
ENSG00000139971 0.0205906968236284 27 27 ARMH4 HiCpLOF
ENSG00000142186 0.0206334910939789 18 18 SCYL1 HiCpLOF
ENSG00000129422 0.0207575760560079 26 26 MTUS1 HiCpLOF
ENSG00000118508 0.0208901695966116 6 6 RAB32 HiCpLOF
ENSG00000129103 0.0210132398297933 20 20 SUMF2 HiCpLOF
ENSG00000143443 0.0210642117815359 9 9 C1orf56 HiCpLOF
ENSG00000108578 0.0212194189860153 11 11 BLMH HiCpLOF
ENSG00000047932 0.0217783383687806 7 7 GOPC HiCpLOF
ENSG00000073754 0.0220025628926386 16 16 CD5L HiCpLOF
ENSG00000149115 0.0220057231757069 30 30 TNKS1BP1 HiCpLOF
ENSG00000132664 0.0220550186851162 14 14 POLR3F HiCpLOF
ENSG00000158683 0.0221439847472253 77 77 PKD1L1 HiCpLOF
ENSG00000091181 0.0223127329854249 12 12 IL5RA HiCpLOF
ENSG00000173852 0.0224032230055423 10 10 DPY19L1 HiCpLOF
ENSG00000224940 0.0224504184189602 13 13 PRRT4 HiCpLOF
ENSG00000127337 0.0224612132382083 5 5 YEATS4 HiCpLOF
ENSG00000138835 0.0225760848478098 16 16 RGS3 HiCpLOF
ENSG00000166819 0.0229429543624913 15 15 PLIN1 HiCpLOF
ENSG00000205085 0.0231267070937763 10 10 FAM71F2 HiCpLOF
ENSG00000124568 0.023137086143923 16 16 SLC17A1 HiCpLOF
ENSG00000155085 0.0231619601359855 54 54 AK9 HiCpLOF
ENSG00000158485 0.0232632905725622 18 18 CD1B HiCpLOF
ENSG00000173588 0.023614265066529 22 22 CEP83 HiCpLOF
ENSG00000069998 0.0236177465490184 16 16 HDHD5 HiCpLOF
ENSG00000172785 0.0236625812028024 9 9 CBWD1 HiCpLOF
ENSG00000104755 0.0237529943640864 27 27 ADAM2 HiCpLOF
ENSG00000165689 0.0238074986710075 16 16 ENTR1 HiCpLOF
ENSG00000105726 0.0238133566819327 19 19 ATP13A1 HiCpLOF
ENSG00000013364 0.0238187659505091 26 26 MVP HiCpLOF
ENSG00000128313 0.0240078658789755 15 15 APOL5 HiCpLOF
ENSG00000107537 0.0240300519814832 9 9 PHYH HiCpLOF
ENSG00000136861 0.0242241706718048 45 45 CDK5RAP2 HiCpLOF
ENSG00000196155 0.0243321545080405 36 36 PLEKHG4 HiCpLOF
ENSG00000126522 0.0244290515219718 10 10 ASL HiCpLOF
ENSG00000115607 0.0244605417653337 17 17 IL18RAP HiCpLOF
ENSG00000145014 0.0244640145853967 24 24 TMEM44 HiCpLOF
ENSG00000197360 0.0246116527575223 1 1 ZNF98 HiCpLOF
ENSG00000255245 0.0246413215534693 7 7 FXYD6-FXYD2 HiCpLOF
ENSG00000215009 0.0249707739630899 25 25 ACSM4 HiCpLOF
ENSG00000137731 0.0249949709563378 7 7 FXYD2 HiCpLOF
ENSG00000169064 0.0250370895146368 30 30 ZBBX HiCpLOF
ENSG00000116525 0.0250681339386262 6 6 TRIM62 HiCpLOF
ENSG00000143257 0.0251228376596592 17 17 NR1I3 HiCpLOF
ENSG00000131183 0.0251923524945256 10 10 SLC34A1 HiCpLOF
ENSG00000179399 0.0252954604470956 15 15 GPC5 HiCpLOF
ENSG00000006118 0.0253114823730258 12 12 TMEM132A HiCpLOF
ENSG00000198046 0.0258487736524513 13 13 ZNF667 HiCpLOF
ENSG00000146809 0.0258789184509161 20 20 ASB15 HiCpLOF
ENSG00000075336 0.0262005856426818 11 11 TIMM21 HiCpLOF
ENSG00000166965 0.0263538175466065 17 17 RCCD1 HiCpLOF
ENSG00000166670 0.026397371324616 13 13 MMP10 HiCpLOF
ENSG00000053501 0.0266293996323542 6 6 USE1 HiCpLOF
ENSG00000152669 0.0266672096166576 9 9 CCNO HiCpLOF
ENSG00000172382 0.0267012980536629 4 4 PRSS27 HiCpLOF
ENSG00000115282 0.0267828830424166 14 14 TTC31 HiCpLOF
ENSG00000187627 0.0268317592752784 8 8 RGPD1 HiCpLOF
ENSG00000118785 0.0268900106176776 6 6 SPP1 HiCpLOF
ENSG00000258472 0.0270045736915096 7 7 AC005726.1 HiCpLOF
ENSG00000102886 0.0270260262480552 15 15 GDPD3 HiCpLOF
ENSG00000198858 0.0270516457318764 14 14 R3HDM4 HiCpLOF
ENSG00000162745 0.0273778152818421 20 20 OLFML2B HiCpLOF
ENSG00000240764 0.0276382406691459 19 19 PCDHGC5 HiCpLOF
ENSG00000049167 0.0280003375000721 14 14 ERCC8 HiCpLOF
ENSG00000182896 0.0281024064059225 6 6 TMEM95 HiCpLOF
ENSG00000072778 0.0281789792562475 27 27 ACADVL HiCpLOF
ENSG00000133313 0.0283667388151341 15 15 CNDP2 HiCpLOF
ENSG00000143921 0.0285168915006828 26 26 ABCG8 HiCpLOF
ENSG00000106336 0.0285348657847243 15 15 FBXO24 HiCpLOF
ENSG00000121690 0.0285565178559282 9 9 DEPDC7 HiCpLOF
ENSG00000133027 0.0286120407846978 7 7 PEMT HiCpLOF
ENSG00000065989 0.0287009000429537 11 11 PDE4A HiCpLOF
ENSG00000103037 0.029941833099997 18 18 SETD6 HiCpLOF
ENSG00000196345 0.0300058468370752 22 22 ZKSCAN7 HiCpLOF
ENSG00000260861 0.0302307302333252 5 5 AL049634.2 HiCpLOF
ENSG00000231738 0.0304833702937587 9 9 TSPAN19 HiCpLOF
ENSG00000088970 0.030847091119531 28 28 KIZ HiCpLOF
ENSG00000042445 0.0309604036134916 18 18 RETSAT HiCpLOF
ENSG00000113583 0.0309817654368143 10 10 C5orf15 HiCpLOF
ENSG00000103888 0.0310362486582101 27 27 CEMIP HiCpLOF
ENSG00000129534 0.0311949604063841 27 27 MIS18BP1 HiCpLOF
ENSG00000180777 0.0314761704071921 58 58 ANKRD30B HiCpLOF
ENSG00000184924 0.0315029508829103 4 4 PTRHD1 HiCpLOF
ENSG00000107560 0.0315814917755899 15 15 RAB11FIP2 HiCpLOF
ENSG00000178028 0.0316038783209378 11 11 DMAP1 HiCpLOF
ENSG00000196628 0.0317321990395272 17 17 TCF4 HiCpLOF
ENSG00000144481 0.0318532861540441 25 25 TRPM8 HiCpLOF
ENSG00000150779 0.0323539799511039 4 4 TIMM8B HiCpLOF
ENSG00000068878 0.0328570177662255 18 18 PSME4 HiCpLOF
ENSG00000124440 0.0329591166111876 11 11 HIF3A HiCpLOF
ENSG00000160323 0.0330240587798796 29 29 ADAMTS13 HiCpLOF
ENSG00000109113 0.0333654632321709 18 18 RAB34 HiCpLOF
ENSG00000105289 0.0334160382598747 22 22 TJP3 HiCpLOF
ENSG00000235118 0.0334406645188416 5 5 FAM237A HiCpLOF
ENSG00000114416 0.0337085020774917 6 6 FXR1 HiCpLOF
ENSG00000111058 0.0337736325343397 15 15 ACSS3 HiCpLOF
ENSG00000168032 0.0339283375862294 13 13 ENTPD3 HiCpLOF
ENSG00000112697 0.0342259672094025 7 7 TMEM30A HiCpLOF
ENSG00000138801 0.0342802267653857 12 12 PAPSS1 HiCpLOF
ENSG00000171916 0.0344410181797434 9 9 LGALS9C HiCpLOF
ENSG00000117602 0.034455038330709 7 7 RCAN3 HiCpLOF
ENSG00000160691 0.0346930454605734 10 10 SHC1 HiCpLOF
ENSG00000227057 0.0348024965883024 14 14 WDR46 HiCpLOF
ENSG00000132589 0.0349362961858881 14 14 FLOT2 HiCpLOF
ENSG00000011021 0.0350076812395936 19 19 CLCN6 HiCpLOF
ENSG00000187758 0.0350954257526611 11 11 ADH1A HiCpLOF
ENSG00000143436 0.0351175479556435 9 9 MRPL9 HiCpLOF
ENSG00000167524 0.0354613239060365 18 18 RSKR HiCpLOF
ENSG00000138395 0.0354734203101547 12 12 CDK15 HiCpLOF
ENSG00000254521 0.0355208954462373 18 18 SIGLEC12 HiCpLOF
ENSG00000165029 0.0356060334316719 27 27 ABCA1 HiCpLOF
ENSG00000204352 0.0357607208668678 4 4 C9orf129 HiCpLOF
ENSG00000107819 0.0357768913498403 8 8 SFXN3 HiCpLOF
ENSG00000110455 0.0361120469555751 10 10 ACCS HiCpLOF
ENSG00000134253 0.0361434743180532 29 29 TRIM45 HiCpLOF
ENSG00000157617 0.0362528889856838 18 18 C2CD2 HiCpLOF
ENSG00000138356 0.0363703035091203 37 37 AOX1 HiCpLOF
ENSG00000215568 0.0364022477626682 14 14 GAB4 HiCpLOF
ENSG00000110077 0.036548179396599 9 9 MS4A6A HiCpLOF
ENSG00000172830 0.0368575817088884 17 17 SSH3 HiCpLOF
ENSG00000158089 0.0371961713007424 23 23 GALNT14 HiCpLOF
ENSG00000106009 0.0375416258988728 22 22 BRAT1 HiCpLOF
ENSG00000101194 0.0375956222148328 12 12 SLC17A9 HiCpLOF
ENSG00000091490 0.0375982620588139 17 17 SEL1L3 HiCpLOF
ENSG00000204624 0.0378766812542622 36 36 DISP3 HiCpLOF
ENSG00000111799 0.0379334683397116 34 34 COL12A1 HiCpLOF
ENSG00000113296 0.0382331118014703 28 28 THBS4 HiCpLOF
ENSG00000135968 0.0383561791110288 48 48 GCC2 HiCpLOF
ENSG00000113119 0.038554019277706 14 14 TMCO6 HiCpLOF
ENSG00000093144 0.0388490411943029 6 6 ECHDC1 HiCpLOF
ENSG00000135842 0.0389246156524975 18 18 NIBAN1 HiCpLOF
ENSG00000161509 0.0390268030516208 23 23 GRIN2C HiCpLOF
ENSG00000164331 0.0392364350025297 14 14 ANKRA2 HiCpLOF
ENSG00000137841 0.0393077965729188 22 22 PLCB2 HiCpLOF
ENSG00000070718 0.0395236966497313 22 22 AP3M2 HiCpLOF
ENSG00000138078 0.0397933472041604 26 26 PREPL HiCpLOF
ENSG00000253767 0.0399179373588637 22 22 PCDHGA8 HiCpLOF
ENSG00000136546 0.0400230788243239 50 50 SCN7A HiCpLOF
ENSG00000176225 0.0402003042452488 62 62 RTTN HiCpLOF
ENSG00000124212 0.0403090784955134 17 17 PTGIS HiCpLOF
ENSG00000100601 0.0403867809157256 9 9 ALKBH1 HiCpLOF
ENSG00000172869 0.0403929451642127 17 17 DMXL1 HiCpLOF
ENSG00000126822 0.0404925491004042 16 16 PLEKHG3 HiCpLOF
ENSG00000125457 0.0405329669815442 14 14 MIF4GD HiCpLOF
ENSG00000158023 0.0407175944727861 33 33 CFAP251 HiCpLOF
ENSG00000163833 0.0408185993946141 18 18 FBXO40 HiCpLOF
ENSG00000162688 0.0411261910126288 47 47 AGL HiCpLOF
ENSG00000134538 0.0411604984665788 25 25 SLCO1B1 HiCpLOF
ENSG00000140263 0.0413191178065131 6 6 SORD HiCpLOF
ENSG00000068976 0.0414258322380442 21 21 PYGM HiCpLOF
ENSG00000198626 0.0416255531468536 50 50 RYR2 HiCpLOF
ENSG00000085465 0.0416574989451967 10 10 OVGP1 HiCpLOF
ENSG00000186919 0.04179288763544 21 21 ZACN HiCpLOF
ENSG00000159495 0.0421054507095046 15 15 TGM7 HiCpLOF
ENSG00000075568 0.0423079123270381 12 12 TMEM131 HiCpLOF
ENSG00000130695 0.0423788840270914 23 23 CEP85 HiCpLOF
ENSG00000196704 0.0423837639758675 10 10 AMZ2 HiCpLOF
ENSG00000267795 0.042450671016346 4 4 SMIM22 HiCpLOF
ENSG00000005882 0.0427354759270095 11 11 PDK2 HiCpLOF
ENSG00000108559 0.0429021497141144 23 23 NUP88 HiCpLOF
ENSG00000171931 0.0430496261807505 26 26 FBXW10 HiCpLOF
ENSG00000137857 0.0431012003339458 41 41 DUOX1 HiCpLOF
ENSG00000124784 0.0432586527692558 13 13 RIOK1 HiCpLOF
ENSG00000166589 0.0433753917501617 26 26 CDH16 HiCpLOF
ENSG00000129566 0.0437217966864336 78 78 TEP1 HiCpLOF
ENSG00000110002 0.0437865851781254 22 22 VWA5A HiCpLOF
ENSG00000141562 0.0437918055637432 21 21 NARF HiCpLOF
ENSG00000181264 0.0444108782630014 6 6 TLCD5 HiCpLOF
ENSG00000249158 0.0445200383096366 31 31 PCDHA11 HiCpLOF
ENSG00000138769 0.0445754519983814 16 16 CDKL2 HiCpLOF
ENSG00000173465 0.0446017574544594 4 4 ZNRD2 HiCpLOF
ENSG00000066923 0.0447888878058917 34 34 STAG3 HiCpLOF
ENSG00000103855 0.0449997530126212 20 20 CD276 HiCpLOF
ENSG00000185177 0.0450982314222449 12 12 ZNF479 HiCpLOF
ENSG00000139641 0.0451023393189501 34 34 ESYT1 HiCpLOF
ENSG00000153048 0.0451069931434115 8 8 CARHSP1 HiCpLOF
ENSG00000061918 0.0452774559644202 12 12 GUCY1B1 HiCpLOF
ENSG00000166960 0.0453544551540969 31 31 CCDC178 HiCpLOF
ENSG00000162695 0.045492480995882 15 15 SLC30A7 HiCpLOF
ENSG00000142698 0.0455651551327805 13 13 C1orf94 HiCpLOF
ENSG00000104938 0.0460279978819392 9 9 CLEC4M HiCpLOF
ENSG00000249715 0.0461129007198461 41 41 FER1L5 HiCpLOF
ENSG00000061492 0.0461555194049715 10 10 WNT8A HiCpLOF
ENSG00000105549 0.0461628213211073 14 14 THEG HiCpLOF
ENSG00000163519 0.0463549268638931 4 4 TRAT1 HiCpLOF
ENSG00000243772 0.0465428830287905 10 10 KIR2DL3 HiCpLOF
ENSG00000196517 0.0466783966310858 12 12 SLC6A9 HiCpLOF
ENSG00000150054 0.0471849685633211 16 16 MPP7 HiCpLOF
ENSG00000173988 0.0474169102665857 23 23 LRRC63 HiCpLOF
ENSG00000131018 0.0476566737107366 144 144 SYNE1 HiCpLOF
ENSG00000100109 0.0479313042170174 26 26 TFIP11 HiCpLOF
ENSG00000168071 0.048037958154753 42 42 CCDC88B HiCpLOF
ENSG00000106346 0.0481067668159444 6 6 USP42 HiCpLOF
ENSG00000172878 0.0481390500875942 9 9 METAP1D HiCpLOF
ENSG00000079974 0.0482197532550105 7 7 RABL2B HiCpLOF
ENSG00000187144 0.0482608631660134 23 23 SPATA21 HiCpLOF
ENSG00000197114 0.04828307531579 18 18 ZGPAT HiCpLOF
ENSG00000161850 0.0482853316115811 12 12 KRT82 HiCpLOF
ENSG00000117228 0.0485203294615855 17 17 GBP1 HiCpLOF
ENSG00000204577 0.0485286074056336 17 17 LILRB3 HiCpLOF
ENSG00000177119 0.0486437936084313 25 25 ANO6 HiCpLOF
ENSG00000100600 0.0486598787029887 13 13 LGMN HiCpLOF
ENSG00000103313 0.0487989768018295 17 17 MEFV HiCpLOF
ENSG00000144589 0.0489025949193862 27 27 STK11IP HiCpLOF
ENSG00000196188 0.0491841330012112 11 11 CTSE HiCpLOF
ENSG00000118420 0.0495490150761065 14 14 UBE3D HiCpLOF
ENSG00000130413 0.0495848484711736 14 14 STK33 HiCpLOF
ENSG00000137571 0.0496673069489797 12 12 SLCO5A1 HiCpLOF
ENSG00000086102 0.0497317064045779 19 19 NFX1 HiCpLOF
ENSG00000078018 0.0498651359774731 7 7 MAP2 HiCpLOF
ENSG00000125089 0.0502204057703832 35 35 SH3TC1 HiCpLOF
ENSG00000178125 0.0504797450094779 15 15 PPP1R42 HiCpLOF
ENSG00000112592 0.0505118542795126 11 11 TBP HiCpLOF
ENSG00000213218 0.0505124455840086 4 4 CSH2 HiCpLOF
ENSG00000165688 0.0505933274001381 14 14 PMPCA HiCpLOF
